Title,Pdf,Epub
"Arbeits-, Organisations- und Personalpsychologie für Bachelor Editors and affiliations",https://link.springer.com//content/pdf/10.1007%2F978-3-662-56013-6.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56013-6.epub
Control Engineering: MATLAB Exercises,https://link.springer.com//content/pdf/10.1007%2F978-981-10-8321-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-10-8321-1.epub
Managing Media and Digital Organizations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-71288-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-71288-8.epub
Policing and Minority Communities Contemporary Issues and Global Perspectives Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-030-19182-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-19182-5.epub
Introduction to Digital Systems Design,https://link.springer.com//content/pdf/10.1007%2F978-3-319-92804-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-92804-3.epub
Research Methods for Social Justice and Equity in Education Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-030-05900-2.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-05900-2.epub
"Entertainment Science Data Analytics and Practical Theory for Movies, Games, Books, and Music",https://link.springer.com//content/pdf/10.1007%2F978-3-319-89292-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-89292-4.epub
Pharmaceutical Biotechnology Fundamentals and Applications Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-030-00710-2.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-00710-2.epub
"Food Fraud Prevention Introduction, Implementation, and Management",https://link.springer.com//content/pdf/10.1007%2F978-1-4939-9621-6.pdf,https://link.springer.com//download/epub/10.1007%2F978-1-4939-9621-6.epub
Media and Digital Management,https://link.springer.com//content/pdf/10.1007%2F978-3-319-72000-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-72000-5.epub
"A Concise Guide to Market Research The Process, Data, and Methods Using IBM SPSS Statistics",https://link.springer.com//content/pdf/10.1007%2F978-3-662-56707-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56707-4.epub
Fundamentals of Solid State Engineering,https://link.springer.com//content/pdf/10.1007%2F978-3-319-75708-7.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-75708-7.epub
Stability and Control of Linear Systems,https://link.springer.com//content/pdf/10.1007%2F978-3-030-02405-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-02405-5.epub
Structural Dynamics Theory and Computation,https://link.springer.com//content/pdf/10.1007%2F978-3-319-94743-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-94743-3.epub
Spine Surgery A Case-Based Approach Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-98875-7.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-98875-7.epub
Automatic Control with Experiments,https://link.springer.com//content/pdf/10.1007%2F978-3-319-75804-6.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-75804-6.epub
"Analyzing Qualitative Data with MAXQDA Text, Audio, and Video",https://link.springer.com//content/pdf/10.1007%2F978-3-030-15671-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-15671-8.epub
Plant Ecology,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56233-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56233-8.epub
Pocket Guide Beatmung,https://link.springer.com//content/pdf/10.1007%2F978-3-662-59657-9.pdf
Plant Ecology,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56233-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56233-8.epub
International Business Management Succeeding in a Culturally Diverse World,https://link.springer.com//content/pdf/10.1007%2F978-3-319-96622-9.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-96622-9.epub
Evidence-Based Practice in Clinical Social Work,https://link.springer.com//content/pdf/10.1007%2F978-3-030-15224-6.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-15224-6.epub
School Leadership and Educational Change in Singapore Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-74746-0.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-74746-0.epub
Robotics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-72911-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-72911-4.epub
Essentials of Business Analytics An Introduction to the Methodology and its Applications Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-68837-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-68837-4.epub
A Beginners Guide to Python 3 Programming,https://link.springer.com//content/pdf/10.1007%2F978-3-030-20290-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-20290-3.epub
Social Marketing in Action Cases from Around the World Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-030-13020-6.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-13020-6.epub
Global Supply Chain and Operations Management A Decision-Oriented Introduction to the Creation of Value,https://link.springer.com//content/pdf/10.1007%2F978-3-319-94313-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-94313-8.epub
Java in Two Semesters Featuring JavaFX,https://link.springer.com//content/pdf/10.1007%2F978-3-319-99420-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-99420-8.epub
Advanced Guide to Python 3 Programming,https://link.springer.com//content/pdf/10.1007%2F978-3-030-25943-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-25943-3.epub
Arbeits- und Organisationspsychologie,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56666-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56666-4.epub
"Of Cigarettes, High Heels, and Other Interesting Things An Introduction to Semiotics",https://link.springer.com//content/pdf/10.1057%2F978-1-349-95348-6.pdf,https://link.springer.com//download/epub/10.1057%2F978-1-349-95348-6.epub
Political Social Work Using Power to Create Social Change,https://link.springer.com//content/pdf/10.1007%2F978-3-319-68588-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-68588-5.epub
Conferencing and Presentation English for Young Academics,https://link.springer.com//content/pdf/10.1007%2F978-981-13-2475-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-13-2475-8.epub
An Introduction to Zooarchaeology,https://link.springer.com//content/pdf/10.1007%2F978-3-319-65682-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-65682-3.epub
Philosophical and Mathematical Logic,https://link.springer.com//content/pdf/10.1007%2F978-3-030-03255-5.pdf
Building Energy Modeling with OpenStudio A Practical Guide for Students and Professionals,https://link.springer.com//content/pdf/10.1007%2F978-3-319-77809-9.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-77809-9.epub
Business Ethics - A Philosophical and Behavioral Approach,https://link.springer.com//content/pdf/10.1007%2F978-3-319-91575-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-91575-3.epub
Criminal Justice and Mental Health An Overview for Students,https://link.springer.com//content/pdf/10.1007%2F978-3-319-76442-9.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-76442-9.epub
Argumentation Theory: A Pragma-Dialectical Perspective,https://link.springer.com//content/pdf/10.1007%2F978-3-319-95381-6.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-95381-6.epub
"Market Research The Process, Data, and Methods Using Stata",https://link.springer.com//content/pdf/10.1007%2F978-981-10-5218-7.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-10-5218-7.epub
Applied Bioinformatics An Introduction,https://link.springer.com//content/pdf/10.1007%2F978-3-319-68301-0.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-68301-0.epub
Research Methods for the Digital Humanities Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-96713-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-96713-4.epub
Perspectives on Elderly Crime and Victimization Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-72682-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-72682-3.epub
"Plant Physiology, Development and Metabolism",https://link.springer.com//content/pdf/10.1007%2F978-981-13-2023-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-13-2023-1.epub
Motivation and Action Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-65094-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-65094-4.epub
Neural Networks and Deep Learning A Textbook,https://link.springer.com//content/pdf/10.1007%2F978-3-319-94463-0.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-94463-0.epub
"ENZYMES: Catalysis, Kinetics and Mechanisms",https://link.springer.com//content/pdf/10.1007%2F978-981-13-0785-0.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-13-0785-0.epub
Philosophy of Race An Introduction,https://link.springer.com//content/pdf/10.1007%2F978-3-319-78729-9.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-78729-9.epub
Philosophy of Race An Introduction,https://link.springer.com//content/pdf/10.1007%2F978-3-319-78729-9.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-78729-9.epub
"Concepts, Methods and Practical Applications in Applied Demography An Introductory Textbook",https://link.springer.com//content/pdf/10.1007%2F978-3-319-65439-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-65439-3.epub
"ENZYMES: Catalysis, Kinetics and Mechanisms",https://link.springer.com//content/pdf/10.1007%2F978-981-13-0785-0.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-13-0785-0.epub
"Travel Marketing, Tourism Economics and the Airline Product An Introduction to Theory and Practice",https://link.springer.com//content/pdf/10.1007%2F978-3-319-49849-2.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-49849-2.epub
"Fraud and Corruption Major Types, Prevention, and Control Editors and affiliations",https://link.springer.com//content/pdf/10.1007%2F978-3-319-92333-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-92333-8.epub
Strategic Human Resource Management and Employment Relations An International Perspective Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-981-13-0399-9.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-13-0399-9.epub
Introductory Computer Forensics A Hands-on Practical Approach,https://link.springer.com//content/pdf/10.1007%2F978-3-030-00581-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-00581-8.epub
Analytical Corporate Finance,https://link.springer.com//content/pdf/10.1007%2F978-3-319-95762-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-95762-3.epub
Astronautics The Physics of Space Flight,https://link.springer.com//content/pdf/10.1007%2F978-3-319-74373-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-74373-8.epub
The A-Z of the PhD Trajectory A Practical Guide for a Successful Journey,https://link.springer.com//content/pdf/10.1007%2F978-3-319-77425-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-77425-1.epub
Plant Anatomy A Concept-Based Approach to the Structure of Seed Plants,https://link.springer.com//content/pdf/10.1007%2F978-3-319-77315-5.pdf
ArcGIS for Environmental and Water Issues,https://link.springer.com//content/pdf/10.1007%2F978-3-319-61158-7.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-61158-7.epub
Scanning Electron Microscopy and X-Ray Microanalysis,https://link.springer.com//content/pdf/10.1007%2F978-1-4939-6676-9.pdf,https://link.springer.com//download/epub/10.1007%2F978-1-4939-6676-9.epub
Logistiksysteme Betriebswirtschaftliche Grundlagen,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56228-4.pdf
"Fraud and Corruption Major Types, Prevention, and Control Editors and affiliations",https://link.springer.com//content/pdf/10.1007%2F978-3-319-92333-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-92333-8.epub
"Mathematical Logic On Numbers, Sets, Structures, and Symmetry",https://link.springer.com//content/pdf/10.1007%2F978-3-319-97298-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-97298-5.epub
Astronautics The Physics of Space Flight,https://link.springer.com//content/pdf/10.1007%2F978-3-319-74373-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-74373-8.epub
Energy and the Wealth of Nations An Introduction to Biophysical Economics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-66219-0.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-66219-0.epub
Probability and Statistics for Computer Science,https://link.springer.com//content/pdf/10.1007%2F978-3-319-64410-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-64410-3.epub
Roloff/Matek Maschinenelemente Formelsammlung,https://link.springer.com//content/pdf/10.1007%2F978-3-658-19900-5.pdf
International Humanitarian Action NOHA Textbook Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-14454-2.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-14454-2.epub
Logical Foundations of Cyber-Physical Systems,https://link.springer.com//content/pdf/10.1007%2F978-3-319-63588-0.pdf
Roloff/Matek Maschinenelemente Formelsammlung,https://link.springer.com//content/pdf/10.1007%2F978-3-658-19900-5.pdf
Systems Programming in Unix/Linux,https://link.springer.com//content/pdf/10.1007%2F978-3-319-92429-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-92429-8.epub
Fundamentals of Java Programming,https://link.springer.com//content/pdf/10.1007%2F978-3-319-89491-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-89491-1.epub
Lessons on Synthetic Bioarchitectures Interaction of Living Matter with Synthetic Structural Analogues,https://link.springer.com//content/pdf/10.1007%2F978-3-319-73123-0.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-73123-0.epub
Life Cycle Assessment Theory and Practice Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-56475-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-56475-3.epub
Fundamentals of Business Process Management,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56509-4.pdf
Data Science and Predictive Analytics Biomedical and Health Applications using R,https://link.springer.com//content/pdf/10.1007%2F978-3-319-72347-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-72347-1.epub
Motivation und Handeln Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-662-53927-9.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-53927-9.epub
Proofs from THE BOOK,https://link.springer.com//content/pdf/10.1007%2F978-3-662-57265-8.pdf
Tutorium Analysis 1 und Lineare Algebra 1 Mathematik von Studenten für Studenten erklärt und kommentiert,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56752-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56752-4.epub
Foundations of Analytical Chemistry A Teaching–Learning Approach,https://link.springer.com//content/pdf/10.1007%2F978-3-319-62872-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-62872-1.epub
Knowledge Management Value Creation Through Organizational Learning,https://link.springer.com//content/pdf/10.1007%2F978-3-319-59978-6.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-59978-6.epub
"A Beginner's Guide to Scala, Object Orientation and Functional Programming",https://link.springer.com//content/pdf/10.1007%2F978-3-319-75771-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-75771-1.epub
Introduction to Programming with Fortran,https://link.springer.com//content/pdf/10.1007%2F978-3-319-75502-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-75502-1.epub
Disability and Vocational Rehabilitation in Rural Settings Challenges to Service Delivery Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-64786-9.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-64786-9.epub
Basiswissen Humangenetik,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56147-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56147-8.epub
Beatmung Indikationen – Techniken – Krankheitsbilder,https://link.springer.com//content/pdf/10.1007%2F978-3-662-54853-0.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-54853-0.epub
"Biochemie Eine Einführung für Mediziner und Naturwissenschaftler - Unter Mitarbeit von Ulrich Brandt, Oliver Anderka, Stefan Kerscher, Stefan Kieß und Katrin Ridinger",https://link.springer.com//content/pdf/10.1007%2F978-3-662-54851-6.pdf
Beatmung Indikationen – Techniken – Krankheitsbilder,https://link.springer.com//content/pdf/10.1007%2F978-3-662-54853-0.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-54853-0.epub
Quantum Mechanics for Pedestrians 2 Applications and Extensions,https://link.springer.com//content/pdf/10.1007%2F978-3-030-00467-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-00467-5.epub
Stochastik für Einsteiger Eine Einführung in die faszinierende Welt des Zufalls,https://link.springer.com//content/pdf/10.1007%2F978-3-658-22044-0.pdf
Basiswissen Pharmakologie,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56303-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56303-8.epub
Knowledge Management Value Creation Through Organizational Learning,https://link.springer.com//content/pdf/10.1007%2F978-3-319-59978-6.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-59978-6.epub
Maschinenbau Ein Lehrbuch für das ganze Bachelor-Studium Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-662-55882-9.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-55882-9.epub
Quantum Mechanics for Pedestrians 1 Fundamentals,https://link.springer.com//content/pdf/10.1007%2F978-3-030-00464-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-00464-4.epub
Introduction to Deep Learning From Logical Calculus to Artificial Intelligence,https://link.springer.com//content/pdf/10.1007%2F978-3-319-73004-2.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-73004-2.epub
"Customer Relationship Management Concept, Strategy, and Tools",https://link.springer.com//content/pdf/10.1007%2F978-3-662-55381-7.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-55381-7.epub
Introductory Quantum Mechanics A Traditional Approach Emphasizing Connections with Classical Physics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-68598-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-68598-4.epub
Witnessing Torture Perspectives of Torture Survivors and Human Rights Workers Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-74965-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-74965-5.epub
Clinical Methods in Medical Family Therapy Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-68834-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-68834-3.epub
Applied Linear Algebra,https://link.springer.com//content/pdf/10.1007%2F978-3-319-91041-3.pdf
Introduction to General Relativity A Course for Undergraduate Students of Physics,https://link.springer.com//content/pdf/10.1007%2F978-981-13-1090-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-981-13-1090-4.epub
"A Pythagorean Introduction to Number Theory Right Triangles, Sums of Squares, and Arithmetic",https://link.springer.com//content/pdf/10.1007%2F978-3-030-02604-2.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-030-02604-2.epub
Linear Algebra and Analytic Geometry for Physical Sciences,https://link.springer.com//content/pdf/10.1007%2F978-3-319-78361-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-78361-1.epub
Physics from Symmetry,https://link.springer.com//content/pdf/10.1007%2F978-3-319-66631-0.pdf
A First Introduction to Quantum Physics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-92207-2.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-92207-2.epub
Motivation und Emotion Allgemeine Psychologie für Bachelor,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56685-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56685-5.epub
Konkrete Mathematik (nicht nur) für Informatiker Mit vielen Grafiken und Algorithmen in Python,https://link.springer.com//content/pdf/10.1007%2F978-3-658-21565-1.pdf
Arbeitsbuch Höhere Mathematik in Rezepten,https://link.springer.com//content/pdf/10.1007%2F978-3-662-54811-0.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-54811-0.epub
Electronic Commerce 2018 A Managerial and Social Networks Perspective,https://link.springer.com//content/pdf/10.1007%2F978-3-319-58715-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-58715-8.epub
Motivation und Emotion Allgemeine Psychologie für Bachelor,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56685-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56685-5.epub
Abstract Algebra An Introductory Course,https://link.springer.com//content/pdf/10.1007%2F978-3-319-77649-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-77649-1.epub
"Analysis for Computer Scientists Foundations, Methods, and Algorithms",https://link.springer.com//content/pdf/10.1007%2F978-3-319-91155-7.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-91155-7.epub
Business Process Management Cases Digital Innovation and Business Transformation in Practice Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-58307-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-58307-5.epub
An Introduction to Soil Mechanics,https://link.springer.com//content/pdf/10.1007%2F978-3-319-61185-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-61185-3.epub
Introduction to Formal Philosophy Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-77434-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-77434-3.epub
"Arbeitsbuch Mathematik Aufgaben, Hinweise, Lösungen und Lösungswege",https://link.springer.com//content/pdf/10.1007%2F978-3-662-56750-0.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56750-0.epub
Mathematik,https://link.springer.com//content/pdf/10.1007%2F978-3-662-56741-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-56741-8.epub
Introduction to Parallel Computing From Algorithms to Programming on State-of-the-Art Platforms,https://link.springer.com//content/pdf/10.1007%2F978-3-319-98833-7.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-98833-7.epub
International Perspectives on Psychotherapy Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-319-56194-3.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-56194-3.epub
Phylogenomics An Introduction,https://link.springer.com//content/pdf/10.1007%2F978-3-319-54064-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-54064-1.epub
Learning Landscape Ecology A Practical Guide to Concepts and Techniques Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-1-4939-6374-4.pdf,https://link.springer.com//download/epub/10.1007%2F978-1-4939-6374-4.epub
Legal Dynamics of EU External Relations Dissecting a Layered Global Player,https://link.springer.com//content/pdf/10.1007%2F978-3-662-54817-2.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-54817-2.epub
Modeling Life The Mathematics of Biological Systems,https://link.springer.com//content/pdf/10.1007%2F978-3-319-59731-7.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-319-59731-7.epub
Reinigungsdienste und Hygiene in Krankenhäusern und Pflegeeinrichtungen Leitfaden für Hygieneverantwortliche,https://link.springer.com//content/pdf/10.1007%2F978-3-662-52723-8.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-52723-8.epub
Strategic Retail Management Text and International Cases,https://link.springer.com//content/pdf/10.1007%2F978-3-658-10183-1.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-658-10183-1.epub
Pflegewissen Pneumologie Editors and affiliations,https://link.springer.com//content/pdf/10.1007%2F978-3-662-52667-5.pdf,https://link.springer.com//download/epub/10.1007%2F978-3-662-52667-5.epub
